,MODE,VEC_SIZE,TIME_MS
0,BLOCK16,10,0.0002566
1,BLOCK16,15,0.00020600000000000002
2,BLOCK16,20,0.0003284
3,BLOCK16,25,0.0003066
4,BLOCK16,30,0.0003282
5,BLOCK16,35,0.0003484
6,BLOCK16,40,0.00036280000000000004
7,BLOCK16,45,0.00036480000000000003
8,BLOCK16,50,0.0003768
9,BLOCK16,55,0.00039700000000000005
10,BLOCK16,60,0.000401
11,BLOCK16,65,0.00040080000000000004
12,BLOCK16,70,0.0004228
13,BLOCK16,75,0.0004268
14,BLOCK16,80,0.000441
15,BLOCK16,85,0.0004668
16,BLOCK16,90,0.0004208
17,BLOCK16,95,0.00046499999999999997
18,BLOCK16,100,0.00046280000000000003
19,BLOCK16,105,0.0004606
20,BLOCK16,110,0.00046699999999999997
21,BLOCK16,115,0.0005328
22,BLOCK16,120,0.000497
23,BLOCK16,125,0.0004788
24,BLOCK16,131,0.000515
25,BLOCK16,137,0.000511
26,BLOCK16,143,0.0005632
27,BLOCK16,150,0.0005589999999999999
28,BLOCK16,157,0.0005390000000000001
29,BLOCK16,164,0.000583
30,BLOCK16,172,0.0006112
31,BLOCK16,180,0.000641
32,BLOCK16,188,0.0006236
33,BLOCK16,197,0.0006854
34,BLOCK16,206,0.0007232
35,BLOCK16,216,0.0008378
36,BLOCK16,226,0.0007234
37,BLOCK16,237,0.0007773999999999999
38,BLOCK16,248,0.0007712
39,BLOCK16,260,0.0008032000000000001
40,BLOCK16,272,0.0007776
41,BLOCK16,285,0.0008751999999999999
42,BLOCK16,299,0.0008316
43,BLOCK16,313,0.0008996000000000001
44,BLOCK16,328,0.0009256000000000001
45,BLOCK16,344,0.000972
46,BLOCK16,361,0.00098
47,BLOCK16,379,0.0010802000000000001
48,BLOCK16,397,0.0011124
49,BLOCK16,416,0.0010976
50,BLOCK16,436,0.0011582
51,BLOCK16,457,0.0012022
52,BLOCK16,479,0.0011584
53,BLOCK16,502,0.0012184000000000001
54,BLOCK16,527,0.0012764
55,BLOCK16,553,0.0012462
56,BLOCK16,580,0.0014348
57,BLOCK16,609,0.0014104
58,BLOCK16,639,0.0014632
59,BLOCK16,670,0.001453
60,BLOCK16,703,0.0015868
