MODE,PROCESS_COUNT,BARSIZE,NUM_ITER,TIME_MS
INSTANT_WAIT,6,5000,100,0.000297
INSTANT_TEST,6,5000,100,0.000455
BLOCKING,2,5000,100,0.000391
INSTANT_WAIT,2,5000,100,0.000461
INSTANT_TEST,2,5000,100,0.000433
BLOCKING,3,5000,100,0.000321
INSTANT_WAIT,3,5000,100,0.000322
INSTANT_TEST,3,5000,100,0.000395
BLOCKING,4,5000,100,0.000312
INSTANT_WAIT,4,5000,100,0.000247
INSTANT_TEST,4,5000,100,0.000355
BLOCKING,5,5000,100,0.000328
INSTANT_WAIT,5,5000,100,0.000249
INSTANT_TEST,5,5000,100,0.000506
BLOCKING,6,5000,100,0.000222
INSTANT_WAIT,6,5000,100,0.000200
INSTANT_TEST,6,5000,100,0.000503
BLOCKING,2,5000,100,0.000354
INSTANT_WAIT,2,5000,100,0.000388
INSTANT_TEST,2,5000,100,0.000439
BLOCKING,3,5000,100,0.000304
INSTANT_WAIT,3,5000,100,0.000280
INSTANT_TEST,3,5000,100,0.000393
BLOCKING,4,5000,100,0.000235
INSTANT_WAIT,4,5000,100,0.000228
INSTANT_TEST,4,5000,100,0.000379
BLOCKING,5,5000,100,0.000414
INSTANT_WAIT,5,5000,100,0.000307
INSTANT_TEST,5,5000,100,0.000344
BLOCKING,6,5000,100,0.000389
INSTANT_WAIT,6,5000,100,0.000236
INSTANT_TEST,6,5000,100,0.000411
BLOCKING,2,5000,100,0.000432
INSTANT_WAIT,2,5000,100,0.000401
INSTANT_TEST,2,5000,100,0.000484
BLOCKING,3,5000,100,0.000510
INSTANT_WAIT,3,5000,100,0.000284
INSTANT_TEST,3,5000,100,0.000492
BLOCKING,4,5000,100,0.000252
INSTANT_WAIT,4,5000,100,0.000402
INSTANT_TEST,4,5000,100,0.000347
BLOCKING,5,5000,100,0.000231
INSTANT_WAIT,5,5000,100,0.000193
INSTANT_TEST,5,5000,100,0.000346
BLOCKING,6,5000,100,0.000253
INSTANT_WAIT,6,5000,100,0.000284
INSTANT_TEST,6,5000,100,0.000431
BLOCKING,2,5000,100,0.000398
INSTANT_WAIT,2,5000,100,0.000375
INSTANT_TEST,2,5000,100,0.000447
BLOCKING,3,5000,100,0.000303
INSTANT_WAIT,3,5000,100,0.000290
INSTANT_TEST,3,5000,100,0.000434
BLOCKING,4,5000,100,0.000266
INSTANT_WAIT,4,5000,100,0.000225
INSTANT_TEST,4,5000,100,0.000499
BLOCKING,5,5000,100,0.000474
INSTANT_WAIT,5,5000,100,0.000267
INSTANT_TEST,5,5000,100,0.000380
BLOCKING,6,5000,100,0.000213
INSTANT_WAIT,6,5000,100,0.000206
INSTANT_TEST,6,5000,100,0.000423
BLOCKING,2,5000,100,0.000377
INSTANT_WAIT,2,5000,100,0.000380
INSTANT_TEST,2,5000,100,0.000428
BLOCKING,3,5000,100,0.000472
INSTANT_WAIT,3,5000,100,0.000279
INSTANT_TEST,3,5000,100,0.000568
BLOCKING,4,5000,100,0.000394
INSTANT_WAIT,4,5000,100,0.000234
INSTANT_TEST,4,5000,100,0.000332
BLOCKING,5,5000,100,0.000346
INSTANT_WAIT,5,5000,100,0.000310
INSTANT_TEST,5,5000,100,0.000378
BLOCKING,6,5000,100,0.000431
INSTANT_WAIT,6,5000,100,0.000167
INSTANT_TEST,6,5000,100,0.000356
BLOCKING,2,5000,100,0.000402
INSTANT_WAIT,2,5000,100,0.000453
INSTANT_TEST,2,5000,100,0.000463
BLOCKING,3,5000,100,0.000395
INSTANT_WAIT,3,5000,100,0.000344
INSTANT_TEST,3,5000,100,0.000404
BLOCKING,4,5000,100,0.000302
INSTANT_WAIT,4,5000,100,0.000248
INSTANT_TEST,4,5000,100,0.000503
BLOCKING,5,5000,100,0.000321
INSTANT_WAIT,5,5000,100,0.000188
INSTANT_TEST,5,5000,100,0.000348
BLOCKING,6,5000,100,0.000311
INSTANT_WAIT,6,5000,100,0.000280
INSTANT_TEST,6,5000,100,0.000516
BLOCKING,2,5000,100,0.000437
INSTANT_WAIT,2,5000,100,0.000368
INSTANT_TEST,2,5000,100,0.000464
BLOCKING,3,5000,100,0.000339
INSTANT_WAIT,3,5000,100,0.000307
INSTANT_TEST,3,5000,100,0.000413
BLOCKING,4,5000,100,0.000326
INSTANT_WAIT,4,5000,100,0.000257
INSTANT_TEST,4,5000,100,0.000382
BLOCKING,5,5000,100,0.000220
INSTANT_WAIT,5,5000,100,0.000262
INSTANT_TEST,5,5000,100,0.000350
BLOCKING,6,5000,100,0.000304
INSTANT_WAIT,6,5000,100,0.000194
INSTANT_TEST,6,5000,100,0.000333
BLOCKING,2,5000,100,0.000363
INSTANT_WAIT,2,5000,100,0.000693
INSTANT_TEST,2,5000,100,0.000452
BLOCKING,3,5000,100,0.000337
INSTANT_WAIT,3,5000,100,0.000281
INSTANT_TEST,3,5000,100,0.000395
BLOCKING,4,5000,100,0.000236
INSTANT_WAIT,4,5000,100,0.000250
INSTANT_TEST,4,5000,100,0.000335
BLOCKING,5,5000,100,0.000242
INSTANT_WAIT,5,5000,100,0.000183
INSTANT_TEST,5,5000,100,0.000346
BLOCKING,6,5000,100,0.000264
INSTANT_WAIT,6,5000,100,0.000177
INSTANT_TEST,6,5000,100,0.000325
BLOCKING,2,5000,100,0.000387
INSTANT_WAIT,2,5000,100,0.000418
INSTANT_TEST,2,5000,100,0.000434
BLOCKING,3,5000,100,0.000301
INSTANT_WAIT,3,5000,100,0.000304
INSTANT_TEST,3,5000,100,0.000422
BLOCKING,4,5000,100,0.000238
INSTANT_WAIT,4,5000,100,0.000228
INSTANT_TEST,4,5000,100,0.000355
BLOCKING,5,5000,100,0.000317
INSTANT_WAIT,5,5000,100,0.000284
INSTANT_TEST,5,5000,100,0.000367
BLOCKING,6,5000,100,0.000347
INSTANT_WAIT,6,5000,100,0.000230
INSTANT_TEST,6,5000,100,0.000355
BLOCKING,2,5000,100,0.000498
INSTANT_WAIT,2,5000,100,0.000382
INSTANT_TEST,2,5000,100,0.000445
BLOCKING,3,5000,100,0.000309
INSTANT_WAIT,3,5000,100,0.000283
INSTANT_TEST,3,5000,100,0.000401
BLOCKING,4,5000,100,0.000277
INSTANT_WAIT,4,5000,100,0.000238
INSTANT_TEST,4,5000,100,0.000351
BLOCKING,5,5000,100,0.000492
INSTANT_WAIT,5,5000,100,0.000252
INSTANT_TEST,5,5000,100,0.000496
BLOCKING,6,5000,100,0.000210
INSTANT_WAIT,6,5000,100,0.000268
INSTANT_TEST,6,5000,100,0.000305
BLOCKING,2,5000,100,0.000397
INSTANT_WAIT,2,5000,100,0.000406
INSTANT_TEST,2,5000,100,0.000466
BLOCKING,3,5000,100,0.000301
INSTANT_WAIT,3,5000,100,0.000393
INSTANT_TEST,3,5000,100,0.000401
BLOCKING,4,5000,100,0.000392
INSTANT_WAIT,4,5000,100,0.000332
INSTANT_TEST,4,5000,100,0.000382
BLOCKING,5,5000,100,0.000364
INSTANT_WAIT,5,5000,100,0.000297
INSTANT_TEST,5,5000,100,0.000362
BLOCKING,6,5000,100,0.000198
INSTANT_WAIT,6,5000,100,0.000283
INSTANT_TEST,6,5000,100,0.000360
BLOCKING,2,5000,100,0.000573
INSTANT_WAIT,2,5000,100,0.000469
INSTANT_TEST,2,5000,100,0.000441
BLOCKING,3,5000,100,0.000313
INSTANT_WAIT,3,5000,100,0.000285
INSTANT_TEST,3,5000,100,0.000406
BLOCKING,4,5000,100,0.000325
INSTANT_WAIT,4,5000,100,0.000429
INSTANT_TEST,4,5000,100,0.000351
BLOCKING,5,5000,100,0.000214
INSTANT_WAIT,5,5000,100,0.000262
INSTANT_TEST,5,5000,100,0.000399
BLOCKING,6,5000,100,0.000223
INSTANT_WAIT,6,5000,100,0.000188
INSTANT_TEST,6,5000,100,0.000415
BLOCKING,2,5000,100,0.000438
INSTANT_WAIT,2,5000,100,0.000387
INSTANT_TEST,2,5000,100,0.000435
BLOCKING,3,5000,100,0.000323
INSTANT_WAIT,3,5000,100,0.000336
INSTANT_TEST,3,5000,100,0.000435
BLOCKING,4,5000,100,0.000259
