MODE,PROCESS_COUNT,BARSIZE,MEAN_TIME_MS
BLOCKING,2,5000,0.0004192
BLOCKING,3,5000,0.0003372333333333333
BLOCKING,4,5000,0.0002965666666666667
BLOCKING,5,5000,0.00028293333333333334
BLOCKING,6,5000,0.00028
INSTANT_TEST,2,5000,0.0004526
INSTANT_TEST,3,5000,0.00044343333333333334
INSTANT_TEST,4,5000,0.00037833333333333333
INSTANT_TEST,5,5000,0.0003707
INSTANT_TEST,6,5000,0.00039723333333333336
INSTANT_WAIT,2,5000,0.00042503333333333333
INSTANT_WAIT,3,5000,0.00032659999999999997
INSTANT_WAIT,4,5000,0.0002864
INSTANT_WAIT,5,5000,0.0002511
INSTANT_WAIT,6,5000,0.00025340000000000003
