MODE,PROCESS_COUNT,BARSIZE,NUM_ITER,TIME_MS
INSTANT_TEST,3,500,100,0.000175
BLOCKING,4,500,100,0.000121
INSTANT_WAIT,4,500,100,0.000078
INSTANT_TEST,4,500,100,0.000194
BLOCKING,5,500,100,0.000087
INSTANT_WAIT,5,500,100,0.000066
INSTANT_TEST,5,500,100,0.000275
BLOCKING,6,500,100,0.000085
INSTANT_WAIT,6,500,100,0.000176
INSTANT_TEST,6,500,100,0.000276
BLOCKING,2,500,100,0.000062
INSTANT_WAIT,2,500,100,0.000057
INSTANT_TEST,2,500,100,0.000085
BLOCKING,3,500,100,0.000083
INSTANT_WAIT,3,500,100,0.000069
INSTANT_TEST,3,500,100,0.000172
BLOCKING,4,500,100,0.000082
INSTANT_WAIT,4,500,100,0.000067
INSTANT_TEST,4,500,100,0.000186
BLOCKING,5,500,100,0.000169
INSTANT_WAIT,5,500,100,0.000098
INSTANT_TEST,5,500,100,0.000199
BLOCKING,6,500,100,0.000086
INSTANT_WAIT,6,500,100,0.000111
INSTANT_TEST,6,500,100,0.000366
BLOCKING,2,500,100,0.000064
INSTANT_WAIT,2,500,100,0.000058
INSTANT_TEST,2,500,100,0.000094
BLOCKING,3,500,100,0.000096
INSTANT_WAIT,3,500,100,0.000068
INSTANT_TEST,3,500,100,0.000183
BLOCKING,4,500,100,0.000075
INSTANT_WAIT,4,500,100,0.000080
INSTANT_TEST,4,500,100,0.000159
BLOCKING,5,500,100,0.000121
INSTANT_WAIT,5,500,100,0.000072
INSTANT_TEST,5,500,100,0.000192
BLOCKING,6,500,100,0.000175
INSTANT_WAIT,6,500,100,0.000312
INSTANT_TEST,6,500,100,0.000263
BLOCKING,2,500,100,0.000072
INSTANT_WAIT,2,500,100,0.000062
INSTANT_TEST,2,500,100,0.000088
BLOCKING,3,500,100,0.000108
INSTANT_WAIT,3,500,100,0.000080
INSTANT_TEST,3,500,100,0.000193
BLOCKING,4,500,100,0.000077
INSTANT_WAIT,4,500,100,0.000065
INSTANT_TEST,4,500,100,0.000186
BLOCKING,5,500,100,0.000214
INSTANT_WAIT,5,500,100,0.000126
INSTANT_TEST,5,500,100,0.000288
BLOCKING,6,500,100,0.000109
INSTANT_WAIT,6,500,100,0.000091
INSTANT_TEST,6,500,100,0.000232
BLOCKING,2,500,100,0.000064
INSTANT_WAIT,2,500,100,0.000062
INSTANT_TEST,2,500,100,0.000088
BLOCKING,3,500,100,0.000085
INSTANT_WAIT,3,500,100,0.000087
INSTANT_TEST,3,500,100,0.000179
BLOCKING,4,500,100,0.000093
INSTANT_WAIT,4,500,100,0.000067
INSTANT_TEST,4,500,100,0.000228
BLOCKING,5,500,100,0.000118
INSTANT_WAIT,5,500,100,0.000098
INSTANT_TEST,5,500,100,0.000218
BLOCKING,6,500,100,0.000080
INSTANT_WAIT,6,500,100,0.000071
INSTANT_TEST,6,500,100,0.000233
BLOCKING,2,500,100,0.000069
INSTANT_WAIT,2,500,100,0.000065
INSTANT_TEST,2,500,100,0.000092
BLOCKING,3,500,100,0.000087
INSTANT_WAIT,3,500,100,0.000074
INSTANT_TEST,3,500,100,0.000166
BLOCKING,4,500,100,0.000145
INSTANT_WAIT,4,500,100,0.000070
INSTANT_TEST,4,500,100,0.000187
BLOCKING,5,500,100,0.000112
INSTANT_WAIT,5,500,100,0.000143
INSTANT_TEST,5,500,100,0.000196
BLOCKING,6,500,100,0.000212
INSTANT_WAIT,6,500,100,0.000092
INSTANT_TEST,6,500,100,0.000226
BLOCKING,2,500,100,0.000068
INSTANT_WAIT,2,500,100,0.000062
INSTANT_TEST,2,500,100,0.000089
BLOCKING,3,500,100,0.000108
INSTANT_WAIT,3,500,100,0.000074
INSTANT_TEST,3,500,100,0.000171
BLOCKING,4,500,100,0.000250
INSTANT_WAIT,4,500,100,0.000165
INSTANT_TEST,4,500,100,0.000170
BLOCKING,5,500,100,0.000088
INSTANT_WAIT,5,500,100,0.000070
INSTANT_TEST,5,500,100,0.000283
BLOCKING,6,500,100,0.000177
INSTANT_WAIT,6,500,100,0.000106
INSTANT_TEST,6,500,100,0.000236
BLOCKING,2,500,100,0.000067
INSTANT_WAIT,2,500,100,0.000064
INSTANT_TEST,2,500,100,0.000095
BLOCKING,3,500,100,0.000099
INSTANT_WAIT,3,500,100,0.000068
INSTANT_TEST,3,500,100,0.000175
BLOCKING,4,500,100,0.000094
INSTANT_WAIT,4,500,100,0.000188
INSTANT_TEST,4,500,100,0.000161
BLOCKING,5,500,100,0.000094
INSTANT_WAIT,5,500,100,0.000076
INSTANT_TEST,5,500,100,0.000236
BLOCKING,6,500,100,0.000104
INSTANT_WAIT,6,500,100,0.000141
INSTANT_TEST,6,500,100,0.000224
BLOCKING,2,500,100,0.000068
INSTANT_WAIT,2,500,100,0.000063
INSTANT_TEST,2,500,100,0.000092
BLOCKING,3,500,100,0.000114
INSTANT_WAIT,3,500,100,0.000069
INSTANT_TEST,3,500,100,0.000166
BLOCKING,4,500,100,0.000079
INSTANT_WAIT,4,500,100,0.000061
INSTANT_TEST,4,500,100,0.000176
BLOCKING,5,500,100,0.000167
INSTANT_WAIT,5,500,100,0.000104
INSTANT_TEST,5,500,100,0.000197
BLOCKING,6,500,100,0.000106
INSTANT_WAIT,6,500,100,0.000281
INSTANT_TEST,6,500,100,0.000202
BLOCKING,2,500,100,0.000066
INSTANT_WAIT,2,500,100,0.000063
INSTANT_TEST,2,500,100,0.000103
BLOCKING,3,500,100,0.000087
INSTANT_WAIT,3,500,100,0.000063
INSTANT_TEST,3,500,100,0.000176
BLOCKING,4,500,100,0.000076
INSTANT_WAIT,4,500,100,0.000128
INSTANT_TEST,4,500,100,0.000198
BLOCKING,5,500,100,0.000161
INSTANT_WAIT,5,500,100,0.000072
INSTANT_TEST,5,500,100,0.000220
BLOCKING,6,500,100,0.000095
INSTANT_WAIT,6,500,100,0.000068
INSTANT_TEST,6,500,100,0.000200
BLOCKING,2,500,100,0.000067
INSTANT_WAIT,2,500,100,0.000058
INSTANT_TEST,2,500,100,0.000090
BLOCKING,3,500,100,0.000087
INSTANT_WAIT,3,500,100,0.000069
INSTANT_TEST,3,500,100,0.000219
BLOCKING,4,500,100,0.000080
INSTANT_WAIT,4,500,100,0.000065
INSTANT_TEST,4,500,100,0.000154
BLOCKING,5,500,100,0.000085
INSTANT_WAIT,5,500,100,0.000094
INSTANT_TEST,5,500,100,0.000280
BLOCKING,6,500,100,0.000199
INSTANT_WAIT,6,500,100,0.000155
INSTANT_TEST,6,500,100,0.000274
BLOCKING,2,500,100,0.000072
INSTANT_WAIT,2,500,100,0.000061
INSTANT_TEST,2,500,100,0.000092
BLOCKING,3,500,100,0.000086
INSTANT_WAIT,3,500,100,0.000070
INSTANT_TEST,3,500,100,0.000203
BLOCKING,4,500,100,0.000091
INSTANT_WAIT,4,500,100,0.000221
INSTANT_TEST,4,500,100,0.000207
BLOCKING,5,500,100,0.000091
INSTANT_WAIT,5,500,100,0.000137
INSTANT_TEST,5,500,100,0.000199
BLOCKING,6,500,100,0.000079
INSTANT_WAIT,6,500,100,0.000159
INSTANT_TEST,6,500,100,0.000386
BLOCKING,2,500,100,0.000071
INSTANT_WAIT,2,500,100,0.000074
INSTANT_TEST,2,500,100,0.000093
BLOCKING,3,500,100,0.000139
INSTANT_WAIT,3,500,100,0.000100
INSTANT_TEST,3,500,100,0.000186
BLOCKING,4,500,100,0.000087
INSTANT_WAIT,4,500,100,0.000063
INSTANT_TEST,4,500,100,0.000335
BLOCKING,5,500,100,0.000084
INSTANT_WAIT,5,500,100,0.000093
INSTANT_TEST,5,500,100,0.000243
BLOCKING,6,500,100,0.000076
INSTANT_WAIT,6,500,100,0.000119
INSTANT_TEST,6,500,100,0.000215
BLOCKING,2,500,100,0.000068
INSTANT_WAIT,2,500,100,0.000059
INSTANT_TEST,2,500,100,0.000091
BLOCKING,3,500,100,0.000090
INSTANT_WAIT,3,500,100,0.000079
INSTANT_TEST,3,500,100,0.000171
BLOCKING,4,500,100,0.000090
INSTANT_WAIT,4,500,100,0.000072
INSTANT_TEST,4,500,100,0.000191
BLOCKING,5,500,100,0.000135
INSTANT_WAIT,5,500,100,0.000113
INSTANT_TEST,5,500,100,0.000188
BLOCKING,6,500,100,0.000134
INSTANT_WAIT,6,500,100,0.000062
INSTANT_TEST,6,500,100,0.000196
BLOCKING,2,500,100,0.000067
INSTANT_WAIT,2,500,100,0.000061
