,MODE,VEC_SIZE,TIME_MS
0,BLOCK16,10,5.2000000000000004e-05
1,BLOCK16,15,5.22e-05
2,BLOCK16,20,3.4e-05
3,BLOCK16,25,4.22e-05
4,BLOCK16,30,4.6e-05
5,BLOCK16,35,3.4e-05
6,BLOCK16,40,5.4199999999999996e-05
7,BLOCK16,45,5e-05
8,BLOCK16,50,4e-05
9,BLOCK16,55,5.8200000000000005e-05
10,BLOCK16,60,5.42e-05
11,BLOCK16,65,3.4e-05
12,BLOCK16,70,6.0400000000000004e-05
13,BLOCK16,75,5.8e-05
14,BLOCK16,80,4e-05
15,BLOCK16,85,6.000000000000001e-05
16,BLOCK16,90,6.24e-05
17,BLOCK16,95,5.8e-05
18,BLOCK16,100,5.2000000000000004e-05
19,BLOCK16,105,5.4e-05
20,BLOCK16,110,7e-05
21,BLOCK16,115,4.82e-05
22,BLOCK16,120,6.4e-05
23,BLOCK16,125,6.400000000000001e-05
24,BLOCK16,131,5e-05
25,BLOCK16,137,6.2e-05
26,BLOCK16,143,6.42e-05
27,BLOCK16,150,7.4e-05
28,BLOCK16,157,6.840000000000001e-05
29,BLOCK16,164,5.64e-05
30,BLOCK16,172,6.2e-05
31,BLOCK16,180,5.9999999999999995e-05
32,BLOCK16,188,7.2e-05
33,BLOCK16,197,7.800000000000001e-05
34,BLOCK16,206,7.02e-05
35,BLOCK16,216,6.620000000000001e-05
36,BLOCK16,226,5.62e-05
37,BLOCK16,237,7.6e-05
38,BLOCK16,248,8.82e-05
39,BLOCK16,260,6.6e-05
40,BLOCK16,272,5.8200000000000005e-05
41,BLOCK16,285,7.8e-05
42,BLOCK16,299,8.620000000000001e-05
43,BLOCK16,313,8.22e-05
44,BLOCK16,328,8.22e-05
45,BLOCK16,344,8e-05
46,BLOCK16,361,8.8e-05
47,BLOCK16,379,9.22e-05
48,BLOCK16,397,8.840000000000001e-05
49,BLOCK16,416,7.419999999999999e-05
50,BLOCK16,436,8.420000000000001e-05
51,BLOCK16,457,9.400000000000001e-05
52,BLOCK16,479,9.6e-05
53,BLOCK16,502,0.0001082
54,BLOCK16,527,0.00011219999999999999
55,BLOCK16,553,0.00010400000000000001
56,BLOCK16,580,0.0001024
57,BLOCK16,609,9.400000000000001e-05
58,BLOCK16,639,0.0001142
59,BLOCK16,670,0.00011800000000000001
60,BLOCK16,703,0.0001362
61,BLOCK16,738,0.000124
62,BLOCK16,774,0.00014439999999999999
63,BLOCK16,812,0.00012639999999999998
64,BLOCK16,852,0.0001386
65,BLOCK16,894,0.0001402
66,BLOCK16,938,0.00015000000000000001
67,BLOCK16,984,0.0001402
68,BLOCK16,1033,0.000154
69,BLOCK16,1084,0.0001642
70,BLOCK16,1138,0.0001566
71,BLOCK16,1194,0.0001764
72,BLOCK16,1253,0.0001744
73,BLOCK16,1315,0.0001722
74,BLOCK16,1380,0.00018640000000000003
75,BLOCK16,1448,0.0002204
76,BLOCK16,1520,0.00020020000000000004
77,BLOCK16,1596,0.0002444
78,BLOCK16,1675,0.00020820000000000002
79,BLOCK16,1758,0.0002326
80,BLOCK16,1845,0.0002448
81,BLOCK16,1937,0.0002182
82,BLOCK16,2033,0.0002382
83,BLOCK16,2134,0.0002942
84,BLOCK16,2240,0.0002628
85,BLOCK16,2351,0.000277
86,BLOCK16,2468,0.00031019999999999995
87,BLOCK16,2591,0.0003524
88,BLOCK16,2720,0.00033039999999999995
89,BLOCK16,2856,0.00033640000000000005
90,BLOCK16,2998,0.0003748
91,BLOCK16,3147,0.00040280000000000003
92,BLOCK16,3304,0.00038679999999999997
93,BLOCK16,3469,0.000445
94,BLOCK16,3642,0.00046499999999999997
95,BLOCK16,3824,0.000445
96,BLOCK16,4015,0.0004384
97,BLOCK16,4215,0.0004808
98,BLOCK16,4425,0.0005047999999999999
99,BLOCK16,4646,0.0005492
100,BLOCK16,4878,0.0005492
101,BLOCK16,5121,0.0005350000000000001
102,BLOCK16,5377,0.0005889999999999999
103,BLOCK16,5645,0.0006876
104,BLOCK16,5927,0.0007236
105,BLOCK16,6223,0.0007654000000000001
106,BLOCK16,6534,0.0007936
107,BLOCK16,6860,0.0008316
108,BLOCK16,7202,0.0008893999999999999
109,BLOCK16,7562,0.0008718
110,BLOCK16,7940,0.0009276
111,BLOCK16,8337,0.0009376
112,BLOCK16,8753,0.0009436
113,BLOCK16,9190,0.0010298
114,BLOCK16,9649,0.000984
115,BLOCK16,10131,0.001046
116,BLOCK16,10637,0.0011581999999999999
117,BLOCK16,11168,0.0011424
118,BLOCK16,11726,0.0013968
119,BLOCK16,12312,0.0013344
120,BLOCK16,12927,0.001583
121,BLOCK16,13573,0.0016452
122,BLOCK16,14251,0.0015404
123,BLOCK16,14963,0.0016672
124,BLOCK16,15711,0.0015970000000000001
125,BLOCK16,16496,0.0019133999999999998
126,BLOCK16,17320,0.0020398
127,BLOCK16,18186,0.0018716
128,BLOCK16,19095,0.002216
129,BLOCK16,20049,0.0022462000000000003
130,BLOCK16,21051,0.0021400000000000004
131,BLOCK16,22103,0.002451
132,BLOCK16,23208,0.0024988
133,BLOCK16,24368,0.0027892
134,BLOCK16,25586,0.0026752
135,BLOCK16,26865,0.002665
136,BLOCK16,28208,0.0028054
137,BLOCK16,29618,0.0033084000000000004
138,BLOCK16,31098,0.0034546
139,BLOCK16,32652,0.0035128
140,BLOCK16,34284,0.0045486
141,BLOCK16,35998,0.003647
142,BLOCK16,37797,0.003843
143,BLOCK16,39686,0.0040094
144,BLOCK16,41670,0.0041458
145,BLOCK16,43753,0.0045608
146,BLOCK16,45940,0.0045366
147,BLOCK16,48236,0.0052138
148,BLOCK16,50647,0.0050614
149,BLOCK16,53179,0.0057745999999999995
150,BLOCK16,55837,0.0057808
151,BLOCK16,58628,0.0071351999999999995
152,BLOCK16,61559,0.0066692
153,BLOCK16,64636,0.0076486
154,BLOCK16,67867,0.00736
155,BLOCK16,71260,0.0073722
156,BLOCK16,74822,0.0080832
157,BLOCK16,78563,0.0084902
158,BLOCK16,82491,0.0097348
159,BLOCK16,86615,0.009355800000000001
160,BLOCK16,90945,0.0093578
161,BLOCK16,95492,0.010768400000000001
162,BLOCK16,100266,0.0103576
163,BLOCK16,105279,0.0123876
164,BLOCK16,110542,0.0145216
165,BLOCK16,116069,0.0114236
166,BLOCK16,121872,0.0129946
167,BLOCK16,127965,0.015056400000000001
168,BLOCK16,134363,0.015984199999999997
169,BLOCK16,141081,0.0167038
170,BLOCK16,148135,0.0176456
171,BLOCK16,155541,0.016735800000000002
172,BLOCK16,163318,0.018437000000000002
173,BLOCK16,171483,0.017663400000000003
174,BLOCK16,180057,0.023146
175,BLOCK16,189059,0.021172
176,BLOCK16,198511,0.0225808
177,BLOCK16,208436,0.025728800000000003
178,BLOCK16,218857,0.021475
179,BLOCK16,229799,0.0230478
180,BLOCK16,241288,0.0286162
181,BLOCK16,253352,0.026395999999999996
182,BLOCK16,266019,0.032385199999999996
183,BLOCK16,279319,0.0287926
184,BLOCK16,293284,0.0335714
185,BLOCK16,307948,0.0331488
186,BLOCK16,323345,0.0350344
187,BLOCK16,339512,0.0365794
188,BLOCK16,356487,0.0387174
189,BLOCK16,374311,0.0420796
190,BLOCK16,393026,0.0429674
191,BLOCK16,412677,0.046778200000000006
192,BLOCK16,433310,0.0445462
193,BLOCK16,454975,0.0493554
194,BLOCK16,477723,0.05859879999999999
195,BLOCK16,501609,0.060479000000000005
196,BLOCK16,526689,0.054126600000000004
197,BLOCK16,553023,0.06974860000000001
198,BLOCK16,580674,0.068538
199,BLOCK16,609707,0.0723192
200,BLOCK16,640192,0.0751324
201,BLOCK16,672201,0.07622860000000001
202,BLOCK16,705811,0.07477160000000001
203,BLOCK16,741101,0.0802862
204,BLOCK16,778156,0.0941384
205,BLOCK16,817063,0.08753580000000001
206,BLOCK16,857916,0.0957732
207,BLOCK16,900811,0.11365319999999998
208,BLOCK16,945851,0.10056639999999999
209,BLOCK16,993143,0.1166268
210,BLOCK16,1042800,0.11588780000000001
211,BLOCK16,1094940,0.11122099999999999
212,BLOCK16,1149687,0.145762
213,BLOCK16,1207171,0.1465174
214,BLOCK16,1267529,0.1440088
215,BLOCK16,1330905,0.15246500000000002
216,BLOCK16,1397450,0.16771799999999998
217,BLOCK16,1467322,0.1812956
218,BLOCK16,1540688,0.1723246
219,BLOCK16,1617722,0.1603538
220,BLOCK16,1698608,0.183724
221,BLOCK16,1783538,0.20134539999999998
222,BLOCK16,1872714,0.2177546
223,BLOCK16,1966349,0.2104266
224,BLOCK16,2064666,0.2205298
225,BLOCK16,2167899,0.21523759999999997
226,BLOCK16,2276293,0.2504486
227,BLOCK16,2390107,0.25495100000000004
228,BLOCK16,2509612,0.24914620000000004
229,BLOCK16,2635092,0.2676492
230,BLOCK16,2766846,0.28735239999999995
231,BLOCK16,2905188,0.30355699999999997
232,BLOCK16,3050447,0.3043628
233,BLOCK16,3202969,0.33960080000000004
234,BLOCK16,3363117,0.3512778
235,BLOCK16,3531272,0.3745776
236,BLOCK16,3707835,0.3835408
237,BLOCK16,3893226,0.413209
238,BLOCK16,4087887,0.42263719999999994
239,BLOCK16,4292281,0.4668806
240,BLOCK16,4506895,0.49112619999999996
241,BLOCK16,4732239,0.5387546
242,BLOCK16,4968850,0.5831108
243,BLOCK16,5217292,0.6256216
244,BLOCK16,5478156,0.5895312
245,BLOCK16,5752063,0.6513484
246,BLOCK16,6039666,0.7307330000000001
247,BLOCK16,6341649,0.735053
248,BLOCK16,6658731,0.7926599999999999
249,BLOCK16,6991667,0.8123714
250,BLOCK16,7341250,0.8869225999999999
251,BLOCK16,7708312,0.9272389999999999
252,BLOCK16,8093727,0.9648541999999999
253,BLOCK16,8498413,1.040728
254,BLOCK16,8923333,1.0174496
255,BLOCK16,9369499,1.1137827999999999
256,BLOCK16,9837973,1.2092416
257,BLOCK16,10329871,1.3250942
258,BLOCK16,10846364,1.3036642
259,BLOCK16,11388682,1.4246576000000002
260,BLOCK16,11958116,1.4487374
261,BLOCK16,12556021,1.542477
262,BLOCK16,13183822,1.6131509999999998
263,BLOCK16,13843013,1.634896
264,BLOCK16,14535163,1.7733614
265,BLOCK16,15261921,1.9803654000000002
266,BLOCK16,16025017,1.9483836
267,BLOCK16,16826267,1.9752948
268,BLOCK16,17667580,2.0995804
269,BLOCK16,18550958,2.3205104
270,BLOCK16,19478505,2.3226686
271,BLOCK16,20452430,2.5108615999999997
272,BLOCK16,21475051,2.5023856
273,BLOCK16,22548803,2.6191938
274,BLOCK16,23676243,2.9545784
275,BLOCK16,24860055,2.9959902
276,BLOCK16,26103057,3.0823368
277,BLOCK16,27408209,3.3143160000000003
278,BLOCK16,28778619,3.3125487999999996
279,BLOCK16,30217549,3.5640574000000003
280,BLOCK16,31728426,3.8198278
281,BLOCK16,33314847,4.000132
282,BLOCK16,34980589,4.251779600000001
283,BLOCK16,36729618,4.4113084
284,BLOCK16,38566098,4.6414848
285,BLOCK16,40494402,5.0940704
286,BLOCK16,42519122,4.971850399999999
287,BLOCK16,44645078,5.7784004
288,BLOCK16,46877331,5.4586528
289,BLOCK16,49221197,5.969970399999999
290,BLOCK16,51682256,6.1405867999999995
291,BLOCK16,54266368,6.583342400000001
292,BLOCK16,56979686,6.8935016000000005
293,BLOCK16,59828670,7.164670800000001
294,BLOCK16,62820103,7.1815809999999995
295,BLOCK16,65961108,7.661031800000001
296,BLOCK16,69259163,8.1917342
297,BLOCK16,72722121,8.4705844
298,BLOCK16,76358227,8.9562806
299,BLOCK16,80176138,9.2425032
300,BLOCK16,84184944,9.938063199999998
301,BLOCK16,88394191,10.1397466
302,BLOCK16,92813900,10.6414304
