,MODE,VEC_SIZE,TIME_MS
144,BLOCK16,41670,0.0017352
145,BLOCK16,43753,0.0018074
146,BLOCK16,45940,0.0019896000000000002
147,BLOCK16,48236,0.0021038000000000003
148,BLOCK16,50647,0.001996
149,BLOCK16,53179,0.0021000000000000003
150,BLOCK16,55837,0.0024006
151,BLOCK16,58628,0.0022042
152,BLOCK16,61559,0.002645
153,BLOCK16,64636,0.0028912
154,BLOCK16,67867,0.0026526
155,BLOCK16,71260,0.0031843999999999996
156,BLOCK16,74822,0.0027834
157,BLOCK16,78563,0.0033622
158,BLOCK16,82491,0.0034184
159,BLOCK16,86615,0.0033782
160,BLOCK16,90945,0.003549
161,BLOCK16,95492,0.003913600000000001
162,BLOCK16,100266,0.0042682
163,BLOCK16,105279,0.004286
164,BLOCK16,110542,0.004725200000000001
165,BLOCK16,116069,0.004835000000000001
166,BLOCK16,121872,0.0045548
167,BLOCK16,127965,0.0050294
168,BLOCK16,134363,0.0052224
169,BLOCK16,141081,0.005242
170,BLOCK16,148135,0.0063202
171,BLOCK16,155541,0.005801
172,BLOCK16,163318,0.0073636000000000005
173,BLOCK16,171483,0.006726600000000001
174,BLOCK16,180057,0.0070696000000000005
175,BLOCK16,189059,0.0078186
176,BLOCK16,198511,0.0081936
177,BLOCK16,208436,0.0094658
178,BLOCK16,218857,0.0092436
179,BLOCK16,229799,0.00949
180,BLOCK16,241288,0.0099592
181,BLOCK16,253352,0.010039000000000001
182,BLOCK16,266019,0.010131000000000001
183,BLOCK16,279319,0.0120586
184,BLOCK16,293284,0.012093000000000001
185,BLOCK16,307948,0.0122954
186,BLOCK16,323345,0.014096800000000001
187,BLOCK16,339512,0.0141868
188,BLOCK16,356487,0.016339
189,BLOCK16,374311,0.016783799999999998
190,BLOCK16,393026,0.016928
191,BLOCK16,412677,0.0185072
192,BLOCK16,433310,0.0185274
193,BLOCK16,454975,0.017463
194,BLOCK16,477723,0.0210038
195,BLOCK16,501609,0.0204446
196,BLOCK16,526689,0.0206008
197,BLOCK16,553023,0.0290794
198,BLOCK16,580674,0.0227854
199,BLOCK16,609707,0.024935199999999998
200,BLOCK16,640192,0.0297686
201,BLOCK16,672201,0.032605800000000004
202,BLOCK16,705811,0.039468600000000006
203,BLOCK16,741101,0.032940199999999996
204,BLOCK16,778156,0.034247
205,BLOCK16,817063,0.0452678
206,BLOCK16,857916,0.044885
207,BLOCK16,900811,0.0402864
208,BLOCK16,945851,0.044435800000000004
209,BLOCK16,993143,0.042460200000000003
210,BLOCK16,1042800,0.038879399999999995
211,BLOCK16,1094940,0.0467266
212,BLOCK16,1149687,0.046446
213,BLOCK16,1207171,0.0495318
214,BLOCK16,1267529,0.05638459999999999
215,BLOCK16,1330905,0.058767400000000004
216,BLOCK16,1397450,0.0624966
217,BLOCK16,1467322,0.06355859999999999
218,BLOCK16,1540688,0.06528959999999999
219,BLOCK16,1617722,0.0649792
220,BLOCK16,1698608,0.07348740000000001
221,BLOCK16,1783538,0.07252339999999999
222,BLOCK16,1872714,0.0867566
223,BLOCK16,1966349,0.07844860000000001
224,BLOCK16,2064666,0.08911480000000001
225,BLOCK16,2167899,0.1300522
226,BLOCK16,2276293,0.11050940000000001
227,BLOCK16,2390107,0.1137854
228,BLOCK16,2509612,0.1041656
229,BLOCK16,2635092,0.12391300000000001
230,BLOCK16,2766846,0.137673
231,BLOCK16,2905188,0.1391858
232,BLOCK16,3050447,0.137929
233,BLOCK16,3202969,0.13973059999999998
234,BLOCK16,3363117,0.16072540000000002
235,BLOCK16,3531272,0.1617224
236,BLOCK16,3707835,0.18168820000000002
237,BLOCK16,3893226,0.1819646
238,BLOCK16,4087887,0.21596479999999998
239,BLOCK16,4292281,0.223936
240,BLOCK16,4506895,0.23739780000000002
241,BLOCK16,4732239,0.2482942
242,BLOCK16,4968850,0.27315579999999995
243,BLOCK16,5217292,0.3228196
244,BLOCK16,5478156,0.33272840000000004
245,BLOCK16,5752063,0.3798438
246,BLOCK16,6039666,0.4064325999999999
247,BLOCK16,6341649,0.4171922
248,BLOCK16,6658731,0.47263579999999994
249,BLOCK16,6991667,0.49616799999999994
250,BLOCK16,7341250,0.49253920000000007
251,BLOCK16,7708312,0.5356972000000001
252,BLOCK16,8093727,0.5650768
253,BLOCK16,8498413,0.6041892
