,MODE,MAT_SIDE,TIME_MS
139,COL_ORDER_ALT,143,0.006954299999999999
140,COL_ORDER_ALT,150,0.0084853
141,COL_ORDER_ALT,157,0.0084733
142,COL_ORDER_ALT,164,0.0098362
143,COL_ORDER_ALT,172,0.0103399
144,COL_ORDER_ALT,180,0.0123164
145,COL_ORDER_ALT,188,0.012557000000000002
146,COL_ORDER_ALT,197,0.0197677
147,COL_ORDER_ALT,206,0.0149145
148,COL_ORDER_ALT,216,0.0170983
149,COL_ORDER_ALT,226,0.0184673
150,COL_ORDER_ALT,237,0.0197566
151,COL_ORDER_ALT,248,0.0207496
152,COL_ORDER_ALT,260,0.0232822
153,COL_ORDER_ALT,272,0.025810899999999998
154,COL_ORDER_ALT,285,0.027773199999999998
155,COL_ORDER_ALT,299,0.0318994
156,COL_ORDER_ALT,313,0.033625300000000004
157,COL_ORDER_ALT,328,0.0407246
158,COL_ORDER_ALT,344,0.038365899999999994
159,COL_ORDER_ALT,361,0.0472698
160,COL_ORDER_ALT,379,0.0555937
161,COL_ORDER_ALT,397,0.055088099999999994
162,COL_ORDER_ALT,416,0.0607367
163,COL_ORDER_ALT,436,0.0648406
164,COL_ORDER_ALT,457,0.07678890000000001
165,COL_ORDER_ALT,479,0.0775052
166,COL_ORDER_ALT,502,0.08447750000000001
167,COL_ORDER_ALT,527,0.10303949999999999
168,COL_ORDER_ALT,553,0.1032708
169,COL_ORDER_ALT,580,0.1177419
170,COL_ORDER_ALT,609,0.1357747
171,COL_ORDER_ALT,639,0.1351318
172,COL_ORDER_ALT,670,0.1628559
173,COL_ORDER_ALT,703,0.1687965
174,COL_ORDER_ALT,738,0.1795971
175,COL_ORDER_ALT,774,0.20959629999999999
176,COL_ORDER_ALT,812,0.2139828
177,COL_ORDER_ALT,852,0.2292787
178,COL_ORDER_ALT,894,0.3109671
179,COL_ORDER_ALT,938,0.2877573
180,COL_ORDER_ALT,984,0.3260424
181,COL_ORDER_ALT,1033,0.3365989
182,COL_ORDER_ALT,1084,0.3748456
183,COL_ORDER_ALT,1138,0.3996864
184,COL_ORDER_ALT,1194,0.4720916
185,COL_ORDER_ALT,1253,0.5047958
186,COL_ORDER_ALT,1315,0.5539995
187,COL_ORDER_ALT,1380,0.5777604999999999
188,COL_ORDER_ALT,1448,0.6448355
189,COL_ORDER_ALT,1520,0.7129423
190,COL_ORDER_ALT,1596,0.7508128000000001
191,COL_ORDER_ALT,1675,0.8151144
192,COL_ORDER_ALT,1758,0.8892937
193,COL_ORDER_ALT,1845,0.9937945000000001
194,COL_ORDER_ALT,1937,1.0802249
195,COL_ORDER_ALT,2033,1.2371489
