,NUM_TERMS,DECIMAL_PLACES_PRECISION,DECIMAL_PLACES_VAR,TIME_MS
176,177,2510,2496,792.4208028
177,178,2524,2510,796.085464
178,179,2538,2524,805.073768
179,180,2552,2538,805.1724816
180,181,2566,2552,810.6967616
181,182,2581,2566,815.6574158
182,183,2595,2581,820.427601
183,184,2609,2595,825.3441816000001
184,185,2623,2609,829.6762151999999
185,186,2637,2623,834.6018207999999
186,187,2652,2637,838.5000968
187,188,2666,2652,849.3510032
188,189,2680,2666,856.3182562
189,190,2694,2680,861.2781654
190,191,2708,2694,865.7818879999999
191,192,2722,2708,871.9041436
192,193,2737,2722,877.1322004
193,194,2751,2737,884.6855796
194,195,2765,2751,884.2722392
195,196,2779,2765,890.059031
196,197,2793,2779,896.3462182
197,198,2808,2793,900.273667
198,199,2822,2808,905.4607072000001
199,200,2836,2822,909.9845942
200,201,2850,2836,913.7492932000001
201,202,2864,2850,922.636882
202,203,2878,2864,924.2697132
203,204,2893,2878,932.1057564
204,205,2907,2893,935.5798953999999
205,206,2921,2907,941.6609744000001
206,207,2935,2921,945.9542888
207,208,2949,2935,949.2315236000001
208,209,2964,2949,955.7627284
209,210,2978,2964,965.9564558
210,211,2992,2978,967.2754282
211,212,3006,2992,972.2294146
212,213,3020,3006,976.4470337999999
213,214,3034,3020,988.1245430000001
214,215,3049,3034,992.3281016000001
215,216,3063,3049,998.0635488
216,217,3077,3063,999.2513554000001
217,218,3091,3077,1004.5965861999999
218,219,3105,3091,1010.8804039999999
219,220,3120,3105,1017.4941868
220,221,3134,3120,1021.5582758
221,222,3148,3134,1030.335879
222,223,3162,3148,1031.7793
223,224,3176,3162,1037.8562768
224,225,3190,3176,1043.418492
225,226,3205,3190,1049.562656
226,227,3219,3205,1051.460924
227,228,3233,3219,1055.5257740000002
228,229,3247,3233,1061.1355098
229,230,3261,3247,1065.1253584
230,231,3276,3261,1070.3601798
231,232,3290,3276,1076.2056784000001
232,233,3304,3290,1084.9239774
233,234,3318,3304,1087.3547412
234,235,3332,3318,1094.1901206
235,236,3347,3332,1098.5342914
236,237,3361,3347,1101.6400984
237,238,3375,3361,1108.725317
238,239,3389,3375,1112.9125510000001
239,240,3403,3389,1123.035122
240,241,3417,3403,1125.8301596
241,242,3432,3417,1127.8045314
242,243,3446,3432,1131.7484018
243,244,3460,3446,1137.751255
244,245,3474,3460,1142.4234344000001
245,246,3488,3474,1152.5440614
246,247,3503,3488,1155.5449818000002
247,248,3517,3503,1159.5490148000001
248,249,3531,3517,1166.4522716
249,250,3545,3531,1168.6611022000002
250,251,3559,3545,1179.406915
251,252,3573,3559,1180.6226063999998
252,253,3588,3573,1191.707384
253,254,3602,3588,1195.6515858
254,255,3616,3602,1195.9095522
255,256,3630,3616,1202.3009355999998
256,257,3644,3630,1207.967233
257,258,3659,3644,1212.9624262
258,259,3673,3659,1219.0618528
259,260,3687,3673,1226.1234554
260,261,3701,3687,1231.5549162
261,262,3715,3701,1234.005871
262,263,3729,3715,1241.9696258
263,264,3744,3729,1245.6525912000002
264,265,3758,3744,1250.4257068000002
265,266,3772,3758,1265.7343194
266,267,3786,3772,1262.1599488
267,268,3800,3786,1268.1075884
268,269,3815,3800,1276.3652582
269,270,3829,3815,1275.8100858
270,271,3843,3829,1284.5190332
271,272,3857,3843,1290.9532264
272,273,3871,3857,1291.795985
273,274,3885,3871,1304.5055596
274,275,3900,3885,1312.5303928
275,276,3914,3900,1310.7090512
276,277,3928,3914,1310.769589
277,278,3942,3928,1322.885909
278,279,3956,3942,1326.833181
279,280,3971,3956,1330.3088732
280,281,3985,3971,1335.9216873999999
281,282,3999,3985,1339.6891266
282,283,4013,3999,1348.1672928
283,284,4027,4013,1350.215764
284,285,4041,4027,1354.9867864
285,286,4056,4041,1362.683945
286,287,4070,4056,1365.6698517999998
287,288,4084,4070,1375.9028744
288,289,4098,4084,1377.852528
289,290,4112,4098,1383.645874
290,291,4127,4112,1388.0435112
291,292,4141,4127,1396.2502200000001
292,293,4155,4141,1396.993055
293,294,4169,4155,1442.465829
294,295,4183,4169,1419.8965938
295,296,4197,4183,1417.9405098
296,297,4212,4197,1425.5728738
297,298,4226,4212,1426.7725642
298,299,4240,4226,1435.5729962
299,300,4254,4240,1438.0759106
300,301,4268,4254,1443.6771875999998
301,302,4283,4268,1452.5839584
302,303,4297,4283,1459.9290076
303,304,4311,4297,1466.2271568
304,305,4325,4311,1473.51719
305,306,4339,4325,1477.6970652
306,307,4353,4339,1484.0209034
307,308,4368,4353,1495.4340846
308,309,4382,4368,1498.9671320000002
309,310,4396,4382,1497.3724688
310,311,4410,4396,1507.5716266
311,312,4424,4410,1514.5758148
312,313,4439,4424,1516.9733786
313,314,4453,4439,1521.9526594
314,315,4467,4453,1530.979769
315,316,4481,4467,1536.310303
316,317,4495,4481,1540.668022
317,318,4509,4495,1544.7852174
318,319,4524,4509,1546.9449928
319,320,4538,4524,1553.8734266
320,321,4552,4538,1559.9558378
321,322,4566,4552,1566.9103784
322,323,4580,4566,1570.8479108
323,324,4595,4580,1575.9016821999999
324,325,4609,4595,1585.3563338
325,326,4623,4609,1590.0303026
326,327,4637,4623,1592.7941834
327,328,4651,4637,1602.4612534
328,329,4665,4651,1607.9039091999998
329,330,4680,4665,1613.5556344000001
330,331,4694,4680,1623.152937
331,332,4708,4694,1627.6165792
332,333,4722,4708,1625.0338064
333,334,4736,4722,1643.1454516000001
334,335,4751,4736,1636.2702052
335,336,4765,4751,1653.8584896
336,337,4779,4765,1650.8595030000001
337,338,4793,4779,1655.2512036
338,339,4807,4793,1662.8883322000001
339,340,4821,4807,1669.2106789999998
340,341,4836,4821,1672.1347197999999
341,342,4850,4836,1682.7918782000002
342,343,4864,4850,1691.4900498
343,344,4878,4864,1689.3786177999998
344,345,4892,4878,1696.1456024
345,346,4907,4892,1701.5511834000001
346,347,4921,4907,1712.9297444
347,348,4935,4921,1709.9200067999998
348,349,4949,4935,1718.7159934
349,350,4963,4949,1725.7472598
350,351,4977,4963,1733.7236544
351,352,4992,4977,1742.9054069999997
352,353,5006,4992,1754.2889629999997
353,354,5020,5006,1748.3932015999999
354,355,5034,5020,1763.2877789999998
355,356,5048,5034,1773.3361478
356,357,5063,5048,1772.8494452
357,358,5077,5063,1771.0520026
358,359,5091,5077,1780.7869114
359,360,5105,5091,1787.9622157999997
360,361,5119,5105,1794.3297837999999
361,362,5133,5119,1797.3732966
362,363,5148,5133,1800.5087528
363,364,5162,5148,1810.8244906
364,365,5176,5162,1819.2847021999999
365,366,5190,5176,1826.9186156
366,367,5204,5190,1826.6969524
367,368,5219,5204,1838.0565938
368,369,5233,5219,1834.218214
369,370,5247,5233,1845.5762878
370,371,5261,5247,1845.9873164
371,372,5275,5261,1857.2877187999998
372,373,5289,5275,1861.4772447999999
373,374,5304,5289,1866.014732
374,375,5318,5304,1881.6565146
375,376,5332,5318,1881.8916064
376,377,5346,5332,1880.9252840000001
377,378,5360,5346,1886.8677555999998
378,379,5375,5360,1891.1996889999998
379,380,5389,5375,1904.0134888
380,381,5403,5389,1907.4152644
381,382,5417,5403,1917.9042166
382,383,5431,5417,1922.2778176
383,384,5445,5431,1973.8176909999997
384,385,5460,5445,1933.8440030000002
385,386,5474,5460,1938.9615118000002
386,387,5488,5474,1946.3011537999998
387,388,5502,5488,1946.2968240000002
388,389,5516,5502,1951.2768532000002
389,390,5531,5516,1959.2010886
390,391,5545,5531,1965.7931015999998
391,392,5559,5545,1974.5656205999999
392,393,5573,5559,1974.269169
393,394,5587,5573,1978.6439488
394,395,5601,5587,1982.4144666
395,396,5616,5601,1997.3957480000001
396,397,5630,5616,2030.2599046
397,398,5644,5630,2050.9806076
398,399,5658,5644,2077.523377
399,400,5672,5658,2143.4410814
