MODE,VEC_SIZE,TIME_MS
VEC_INIT,10,0.000101
SINGLE,10,0.000060
VEC_INIT,10,0.000090
SINGLE,10,0.000081
VEC_INIT,10,0.000090
SINGLE,10,0.000080
VEC_INIT,10,0.000100
SINGLE,10,0.000090
VEC_INIT,10,0.000090
SINGLE,10,0.000090
VEC_INIT,10,0.000100
BLOCK2,10,0.000090
VEC_INIT,10,0.000081
BLOCK2,10,0.000080
VEC_INIT,10,0.000090
BLOCK2,10,0.000091
VEC_INIT,10,0.000090
BLOCK2,10,0.000091
VEC_INIT,10,0.000090
BLOCK2,10,0.000080
VEC_INIT,10,0.000110
BLOCK4,10,0.000140
VEC_INIT,10,0.000130
BLOCK4,10,0.000160
VEC_INIT,10,0.000111
BLOCK4,10,0.000140
VEC_INIT,10,0.000091
BLOCK4,10,0.000120
VEC_INIT,10,0.000090
BLOCK4,10,0.000120
VEC_INIT,10,0.000090
BLOCK8,10,0.000161
VEC_INIT,10,0.000100
BLOCK8,10,0.000160
VEC_INIT,10,0.000090
BLOCK8,10,0.000160
VEC_INIT,10,0.000090
BLOCK8,10,0.000161
VEC_INIT,10,0.000090
BLOCK8,10,0.000161
VEC_INIT,10,0.000091
BLOCK16,10,0.000200
VEC_INIT,10,0.000150
BLOCK16,10,0.000541
VEC_INIT,10,0.000100
BLOCK16,10,0.000181
VEC_INIT,10,0.000100
BLOCK16,10,0.000180
VEC_INIT,10,0.000090
BLOCK16,10,0.000181
VEC_INIT,15,0.000100
SINGLE,15,0.000100
VEC_INIT,15,0.000100
SINGLE,15,0.000091
VEC_INIT,15,0.000100
SINGLE,15,0.000090
VEC_INIT,15,0.000100
SINGLE,15,0.000100
VEC_INIT,15,0.000110
SINGLE,15,0.000110
VEC_INIT,15,0.000090
BLOCK2,15,0.000100
VEC_INIT,15,0.000091
BLOCK2,15,0.000090
VEC_INIT,15,0.000090
BLOCK2,15,0.000100
VEC_INIT,15,0.000110
BLOCK2,15,0.000100
VEC_INIT,15,0.000090
BLOCK2,15,0.000100
VEC_INIT,15,0.000100
BLOCK4,15,0.000130
VEC_INIT,15,0.000100
BLOCK4,15,0.000131
VEC_INIT,15,0.000090
BLOCK4,15,0.000130
VEC_INIT,15,0.000101
BLOCK4,15,0.000130
VEC_INIT,15,0.000090
BLOCK4,15,0.000131
VEC_INIT,15,0.000110
BLOCK8,15,0.000170
VEC_INIT,15,0.000100
BLOCK8,15,0.000170
VEC_INIT,15,0.000100
BLOCK8,15,0.000161
VEC_INIT,15,0.000090
BLOCK8,15,0.000181
VEC_INIT,15,0.000100
BLOCK8,15,0.000170
VEC_INIT,15,0.000110
BLOCK16,15,0.000220
VEC_INIT,15,0.000120
BLOCK16,15,0.000230
VEC_INIT,15,0.000101
BLOCK16,15,0.000200
VEC_INIT,15,0.000090
BLOCK16,15,0.000190
VEC_INIT,15,0.000090
BLOCK16,15,0.000190
VEC_INIT,20,0.000100
SINGLE,20,0.000121
VEC_INIT,20,0.000101
SINGLE,20,0.000120
VEC_INIT,20,0.000090
SINGLE,20,0.000131
VEC_INIT,20,0.000100
SINGLE,20,0.000121
VEC_INIT,20,0.000100
SINGLE,20,0.000131
VEC_INIT,20,0.000091
BLOCK2,20,0.000100
VEC_INIT,20,0.000101
BLOCK2,20,0.000090
VEC_INIT,20,0.000100
BLOCK2,20,0.000100
VEC_INIT,20,0.000120
BLOCK2,20,0.000130
VEC_INIT,20,0.000101
BLOCK2,20,0.000100
VEC_INIT,20,0.000090
BLOCK4,20,0.000131
VEC_INIT,20,0.000110
BLOCK4,20,0.000130
VEC_INIT,20,0.000101
BLOCK4,20,0.000130
VEC_INIT,20,0.000100
BLOCK4,20,0.000130
VEC_INIT,20,0.000100
BLOCK4,20,0.000131
VEC_INIT,20,0.000100
BLOCK8,20,0.000190
VEC_INIT,20,0.000100
BLOCK8,20,0.000200
VEC_INIT,20,0.000090
BLOCK8,20,0.000200
VEC_INIT,20,0.000090
BLOCK8,20,0.000200
VEC_INIT,20,0.000100
BLOCK8,20,0.000201
VEC_INIT,20,0.000090
BLOCK16,20,0.000300
VEC_INIT,20,0.000110
BLOCK16,20,0.000351
VEC_INIT,20,0.000100
BLOCK16,20,0.000311
VEC_INIT,20,0.000110
BLOCK16,20,0.000300
VEC_INIT,20,0.000120
BLOCK16,20,0.000380
VEC_INIT,25,0.000120
SINGLE,25,0.000141
VEC_INIT,25,0.000110
SINGLE,25,0.000130
VEC_INIT,25,0.000110
SINGLE,25,0.000130
VEC_INIT,25,0.000110
SINGLE,25,0.000130
VEC_INIT,25,0.000100
SINGLE,25,0.000121
VEC_INIT,25,0.000110
BLOCK2,25,0.000110
VEC_INIT,25,0.000100
BLOCK2,25,0.000110
VEC_INIT,25,0.000120
BLOCK2,25,0.000141
VEC_INIT,25,0.000110
BLOCK2,25,0.000110
VEC_INIT,25,0.000110
BLOCK2,25,0.000111
VEC_INIT,25,0.000130
BLOCK4,25,0.000190
VEC_INIT,25,0.000100
BLOCK4,25,0.000140
VEC_INIT,25,0.000100
BLOCK4,25,0.000150
VEC_INIT,25,0.000110
BLOCK4,25,0.000140
