MODE,VEC_SIZE,TIME_MS
VEC_INIT,10,0.000070
SINGLE,10,0.000211
VEC_INIT,10,0.000080
SINGLE,10,0.000030
VEC_INIT,10,0.000150
SINGLE,10,0.000030
VEC_INIT,10,0.000090
SINGLE,10,0.000030
VEC_INIT,10,0.000090
SINGLE,10,0.000050
VEC_INIT,10,0.000080
BLOCK2,10,0.000030
VEC_INIT,10,0.000080
BLOCK2,10,0.000040
VEC_INIT,10,0.000070
BLOCK2,10,0.000050
VEC_INIT,10,0.000090
BLOCK2,10,0.000050
VEC_INIT,10,0.000080
BLOCK2,10,0.000040
VEC_INIT,10,0.000070
BLOCK4,10,0.000130
VEC_INIT,10,0.000070
BLOCK4,10,0.000050
VEC_INIT,10,0.000101
BLOCK4,10,0.000070
VEC_INIT,10,0.000080
BLOCK4,10,0.000070
VEC_INIT,10,0.000081
BLOCK4,10,0.000050
VEC_INIT,10,0.000080
BLOCK8,10,0.000300
VEC_INIT,10,0.000080
BLOCK8,10,0.000110
VEC_INIT,10,0.000070
BLOCK8,10,0.000060
VEC_INIT,10,0.000070
BLOCK8,10,0.000060
VEC_INIT,10,0.000070
BLOCK8,10,0.000060
VEC_INIT,10,0.000070
BLOCK16,10,0.000040
VEC_INIT,10,0.000071
BLOCK16,10,0.000040
VEC_INIT,10,0.000070
BLOCK16,10,0.000040
VEC_INIT,10,0.000080
BLOCK16,10,0.000040
VEC_INIT,10,0.000080
BLOCK16,10,0.000040
VEC_INIT,15,0.000070
SINGLE,15,0.000030
VEC_INIT,15,0.000070
SINGLE,15,0.000030
VEC_INIT,15,0.000070
SINGLE,15,0.000030
VEC_INIT,15,0.000070
SINGLE,15,0.000030
VEC_INIT,15,0.000070
SINGLE,15,0.000030
VEC_INIT,15,0.000070
BLOCK2,15,0.000030
VEC_INIT,15,0.000060
BLOCK2,15,0.000040
VEC_INIT,15,0.000070
BLOCK2,15,0.000030
VEC_INIT,15,0.000070
BLOCK2,15,0.000030
VEC_INIT,15,0.000070
BLOCK2,15,0.000030
VEC_INIT,15,0.000070
BLOCK4,15,0.000121
VEC_INIT,15,0.000070
BLOCK4,15,0.000051
VEC_INIT,15,0.000070
BLOCK4,15,0.000050
VEC_INIT,15,0.000080
BLOCK4,15,0.000070
VEC_INIT,15,0.000071
BLOCK4,15,0.000040
VEC_INIT,15,0.000070
BLOCK8,15,0.000220
VEC_INIT,15,0.000090
BLOCK8,15,0.000060
VEC_INIT,15,0.000060
BLOCK8,15,0.000060
VEC_INIT,15,0.000070
BLOCK8,15,0.000060
VEC_INIT,15,0.000091
BLOCK8,15,0.000060
VEC_INIT,15,0.000060
BLOCK16,15,0.000100
VEC_INIT,15,0.000070
BLOCK16,15,0.000040
VEC_INIT,15,0.000060
BLOCK16,15,0.000040
VEC_INIT,15,0.000080
BLOCK16,15,0.000040
VEC_INIT,15,0.000070
BLOCK16,15,0.000030
VEC_INIT,20,0.000070
SINGLE,20,0.000260
VEC_INIT,20,0.000070
SINGLE,20,0.000030
VEC_INIT,20,0.000070
SINGLE,20,0.000030
VEC_INIT,20,0.000070
SINGLE,20,0.000030
VEC_INIT,20,0.000070
SINGLE,20,0.000030
VEC_INIT,20,0.000071
BLOCK2,20,0.000040
VEC_INIT,20,0.000060
BLOCK2,20,0.000040
VEC_INIT,20,0.000070
BLOCK2,20,0.000040
VEC_INIT,20,0.000070
BLOCK2,20,0.000040
VEC_INIT,20,0.000070
BLOCK2,20,0.000040
VEC_INIT,20,0.000071
BLOCK4,20,0.000140
VEC_INIT,20,0.000070
BLOCK4,20,0.000050
VEC_INIT,20,0.000070
BLOCK4,20,0.000050
VEC_INIT,20,0.000070
BLOCK4,20,0.000050
VEC_INIT,20,0.000080
BLOCK4,20,0.000070
VEC_INIT,20,0.000071
BLOCK8,20,0.000370
VEC_INIT,20,0.000070
BLOCK8,20,0.000060
VEC_INIT,20,0.000070
BLOCK8,20,0.000060
VEC_INIT,20,0.000070
BLOCK8,20,0.000060
VEC_INIT,20,0.000070
BLOCK8,20,0.000060
VEC_INIT,20,0.000080
BLOCK16,20,0.000041
VEC_INIT,20,0.000070
BLOCK16,20,0.000030
VEC_INIT,20,0.000080
BLOCK16,20,0.000040
VEC_INIT,20,0.000080
BLOCK16,20,0.000040
VEC_INIT,20,0.000070
BLOCK16,20,0.000040
VEC_INIT,25,0.000060
SINGLE,25,0.000040
VEC_INIT,25,0.000070
SINGLE,25,0.000020
VEC_INIT,25,0.000060
SINGLE,25,0.000030
VEC_INIT,25,0.000060
SINGLE,25,0.000030
VEC_INIT,25,0.000060
SINGLE,25,0.000030
VEC_INIT,25,0.000060
BLOCK2,25,0.000100
VEC_INIT,25,0.000050
BLOCK2,25,0.000030
VEC_INIT,25,0.000091
BLOCK2,25,0.000050
VEC_INIT,25,0.000070
BLOCK2,25,0.000040
VEC_INIT,25,0.000080
BLOCK2,25,0.000040
VEC_INIT,25,0.000070
BLOCK4,25,0.000200
VEC_INIT,25,0.000060
BLOCK4,25,0.000050
VEC_INIT,25,0.000060
BLOCK4,25,0.000050
VEC_INIT,25,0.000060
BLOCK4,25,0.000050
VEC_INIT,25,0.000070
BLOCK4,25,0.000050
VEC_INIT,25,0.000070
BLOCK8,25,0.000220
VEC_INIT,25,0.000061
BLOCK8,25,0.000050
VEC_INIT,25,0.000070
BLOCK8,25,0.000070
VEC_INIT,25,0.000080
BLOCK8,25,0.000071
VEC_INIT,25,0.000060
BLOCK8,25,0.000061
VEC_INIT,25,0.000091
BLOCK16,25,0.000050
VEC_INIT,25,0.000080
BLOCK16,25,0.000050
VEC_INIT,25,0.000070
BLOCK16,25,0.000040
VEC_INIT,25,0.000060
BLOCK16,25,0.000030
VEC_INIT,25,0.000060
BLOCK16,25,0.000041
VEC_INIT,30,0.000071
SINGLE,30,0.000030
VEC_INIT,30,0.000060
SINGLE,30,0.000030
VEC_INIT,30,0.000080
SINGLE,30,0.000030
VEC_INIT,30,0.000081
SINGLE,30,0.000030
VEC_INIT,30,0.000050
SINGLE,30,0.000030
VEC_INIT,30,0.000060
BLOCK2,30,0.000200
VEC_INIT,30,0.000061
BLOCK2,30,0.000030
VEC_INIT,30,0.000070
BLOCK2,30,0.000030
VEC_INIT,30,0.000070
BLOCK2,30,0.000040
VEC_INIT,30,0.000060
BLOCK2,30,0.000030
VEC_INIT,30,0.000070
BLOCK4,30,0.000060
VEC_INIT,30,0.000090
BLOCK4,30,0.000070
VEC_INIT,30,0.000090
BLOCK4,30,0.000050
VEC_INIT,30,0.000060
BLOCK4,30,0.000050
VEC_INIT,30,0.000060
BLOCK4,30,0.000050
VEC_INIT,30,0.000060
BLOCK8,30,0.000330
VEC_INIT,30,0.000070
BLOCK8,30,0.000070
VEC_INIT,30,0.000060
BLOCK8,30,0.000060
VEC_INIT,30,0.000060
BLOCK8,30,0.000070
VEC_INIT,30,0.000080
BLOCK8,30,0.000061
VEC_INIT,30,0.000070
BLOCK16,30,0.000030
VEC_INIT,30,0.000060
BLOCK16,30,0.000040
VEC_INIT,30,0.000070
BLOCK16,30,0.000041
VEC_INIT,30,0.000080
BLOCK16,30,0.000040
VEC_INIT,30,0.000070
BLOCK16,30,0.000030
VEC_INIT,35,0.000080
SINGLE,35,0.000111
VEC_INIT,35,0.000070
SINGLE,35,0.000040
VEC_INIT,35,0.000080
SINGLE,35,0.000040
VEC_INIT,35,0.000080
SINGLE,35,0.000040
VEC_INIT,35,0.000070
SINGLE,35,0.000040
VEC_INIT,35,0.000070
BLOCK2,35,0.000030
VEC_INIT,35,0.000080
BLOCK2,35,0.000031
VEC_INIT,35,0.000070
BLOCK2,35,0.000030
VEC_INIT,35,0.000080
BLOCK2,35,0.000030
VEC_INIT,35,0.000080
BLOCK2,35,0.000030
VEC_INIT,35,0.000131
BLOCK4,35,0.000230
VEC_INIT,35,0.000070
BLOCK4,35,0.000050
VEC_INIT,35,0.000070
BLOCK4,35,0.000050
VEC_INIT,35,0.000071
BLOCK4,35,0.000050
VEC_INIT,35,0.000070
BLOCK4,35,0.000050
VEC_INIT,35,0.000080
BLOCK8,35,0.000221
VEC_INIT,35,0.000090
BLOCK8,35,0.000061
VEC_INIT,35,0.000070
BLOCK8,35,0.000060
VEC_INIT,35,0.000070
BLOCK8,35,0.000060
VEC_INIT,35,0.000070
BLOCK8,35,0.000080
VEC_INIT,35,0.000080
BLOCK16,35,0.000040
VEC_INIT,35,0.000080
BLOCK16,35,0.000040
VEC_INIT,35,0.000070
BLOCK16,35,0.000040
VEC_INIT,35,0.000070
BLOCK16,35,0.000040
VEC_INIT,35,0.000080
BLOCK16,35,0.000051
VEC_INIT,40,0.000071
SINGLE,40,0.000100
VEC_INIT,40,0.000070
SINGLE,40,0.000040
VEC_INIT,40,0.000070
SINGLE,40,0.000040
VEC_INIT,40,0.000070
SINGLE,40,0.000030
VEC_INIT,40,0.000070
SINGLE,40,0.000030
VEC_INIT,40,0.000070
BLOCK2,40,0.000091
VEC_INIT,40,0.000080
BLOCK2,40,0.000030
VEC_INIT,40,0.000070
BLOCK2,40,0.000040
VEC_INIT,40,0.000070
BLOCK2,40,0.000040
VEC_INIT,40,0.000070
BLOCK2,40,0.000030
VEC_INIT,40,0.000090
BLOCK4,40,0.000631
VEC_INIT,40,0.000090
BLOCK4,40,0.000070
VEC_INIT,40,0.000071
BLOCK4,40,0.000050
VEC_INIT,40,0.000070
BLOCK4,40,0.000050
VEC_INIT,40,0.000070
BLOCK4,40,0.000060
VEC_INIT,40,0.000070
BLOCK8,40,0.000220
VEC_INIT,40,0.000070
BLOCK8,40,0.000060
VEC_INIT,40,0.000080
BLOCK8,40,0.000061
VEC_INIT,40,0.000070
BLOCK8,40,0.000070
VEC_INIT,40,0.000070
BLOCK8,40,0.000070
VEC_INIT,40,0.000070
BLOCK16,40,0.000040
VEC_INIT,40,0.000070
BLOCK16,40,0.000040
VEC_INIT,40,0.000070
BLOCK16,40,0.000050
VEC_INIT,40,0.000070
BLOCK16,40,0.000040
VEC_INIT,40,0.000071
BLOCK16,40,0.000040
VEC_INIT,45,0.000060
SINGLE,45,0.000040
VEC_INIT,45,0.000070
SINGLE,45,0.000040
VEC_INIT,45,0.000070
SINGLE,45,0.000040
VEC_INIT,45,0.000070
SINGLE,45,0.000040
VEC_INIT,45,0.000070
SINGLE,45,0.000040
VEC_INIT,45,0.000090
BLOCK2,45,0.000100
VEC_INIT,45,0.000070
BLOCK2,45,0.000030
VEC_INIT,45,0.000070
BLOCK2,45,0.000030
VEC_INIT,45,0.000070
BLOCK2,45,0.000040
VEC_INIT,45,0.000070
BLOCK2,45,0.000030
VEC_INIT,45,0.000080
BLOCK4,45,0.000311
VEC_INIT,45,0.000080
BLOCK4,45,0.000040
VEC_INIT,45,0.000070
BLOCK4,45,0.000050
VEC_INIT,45,0.000070
BLOCK4,45,0.000050
VEC_INIT,45,0.000070
BLOCK4,45,0.000050
VEC_INIT,45,0.000080
BLOCK8,45,0.000280
VEC_INIT,45,0.000070
BLOCK8,45,0.000060
VEC_INIT,45,0.000070
BLOCK8,45,0.000060
VEC_INIT,45,0.000070
BLOCK8,45,0.000070
VEC_INIT,45,0.000070
BLOCK8,45,0.000070
VEC_INIT,45,0.000070
BLOCK16,45,0.000040
VEC_INIT,45,0.000070
BLOCK16,45,0.000040
VEC_INIT,45,0.000080
BLOCK16,45,0.000040
VEC_INIT,45,0.000070
BLOCK16,45,0.000040
VEC_INIT,45,0.000070
BLOCK16,45,0.000040
VEC_INIT,50,0.000070
SINGLE,50,0.000040
VEC_INIT,50,0.000080
SINGLE,50,0.000040
VEC_INIT,50,0.000080
SINGLE,50,0.000040
VEC_INIT,50,0.000080
SINGLE,50,0.000040
VEC_INIT,50,0.000090
SINGLE,50,0.000050
VEC_INIT,50,0.000081
BLOCK2,50,0.000110
VEC_INIT,50,0.000090
BLOCK2,50,0.000030
VEC_INIT,50,0.000080
BLOCK2,50,0.000030
VEC_INIT,50,0.000080
BLOCK2,50,0.000030
VEC_INIT,50,0.000080
BLOCK2,50,0.000030
VEC_INIT,50,0.000080
BLOCK4,50,0.000141
VEC_INIT,50,0.000081
BLOCK4,50,0.000050
VEC_INIT,50,0.000080
BLOCK4,50,0.000060
VEC_INIT,50,0.000081
BLOCK4,50,0.000050
VEC_INIT,50,0.000080
BLOCK4,50,0.000051
VEC_INIT,50,0.000080
BLOCK8,50,0.000300
VEC_INIT,50,0.000091
BLOCK8,50,0.000070
VEC_INIT,50,0.000110
BLOCK8,50,0.000070
VEC_INIT,50,0.000090
BLOCK8,50,0.000060
VEC_INIT,50,0.000090
BLOCK8,50,0.000060
VEC_INIT,50,0.000090
BLOCK16,50,0.000110
VEC_INIT,50,0.000080
BLOCK16,50,0.000051
VEC_INIT,50,0.000080
BLOCK16,50,0.000050
VEC_INIT,50,0.000090
BLOCK16,50,0.000050
VEC_INIT,50,0.000080
BLOCK16,50,0.000051
VEC_INIT,55,0.000070
SINGLE,55,0.000181
VEC_INIT,55,0.000070
SINGLE,55,0.000040
VEC_INIT,55,0.000100
SINGLE,55,0.000050
VEC_INIT,55,0.000080
SINGLE,55,0.000060
VEC_INIT,55,0.000080
SINGLE,55,0.000040
VEC_INIT,55,0.000071
BLOCK2,55,0.000120
VEC_INIT,55,0.000071
BLOCK2,55,0.000030
VEC_INIT,55,0.000081
BLOCK2,55,0.000030
VEC_INIT,55,0.000070
BLOCK2,55,0.000030
VEC_INIT,55,0.000070
BLOCK2,55,0.000030
VEC_INIT,55,0.000070
BLOCK4,55,0.000131
VEC_INIT,55,0.000070
BLOCK4,55,0.000040
VEC_INIT,55,0.000070
BLOCK4,55,0.000050
VEC_INIT,55,0.000060
BLOCK4,55,0.000050
VEC_INIT,55,0.000060
BLOCK4,55,0.000040
VEC_INIT,55,0.000070
BLOCK8,55,0.000291
VEC_INIT,55,0.000060
BLOCK8,55,0.000060
VEC_INIT,55,0.000090
BLOCK8,55,0.000060
VEC_INIT,55,0.000070
BLOCK8,55,0.000061
VEC_INIT,55,0.000070
BLOCK8,55,0.000060
VEC_INIT,55,0.000070
BLOCK16,55,0.000101
VEC_INIT,55,0.000090
BLOCK16,55,0.000050
VEC_INIT,55,0.000070
BLOCK16,55,0.000041
VEC_INIT,55,0.000070
BLOCK16,55,0.000030
VEC_INIT,55,0.000070
BLOCK16,55,0.000040
VEC_INIT,60,0.000110
SINGLE,60,0.000111
VEC_INIT,60,0.000100
SINGLE,60,0.000050
VEC_INIT,60,0.000090
SINGLE,60,0.000061
VEC_INIT,60,0.000070
SINGLE,60,0.000040
VEC_INIT,60,0.000080
SINGLE,60,0.000050
VEC_INIT,60,0.000091
BLOCK2,60,0.000110
VEC_INIT,60,0.000070
BLOCK2,60,0.000030
VEC_INIT,60,0.000080
BLOCK2,60,0.000030
VEC_INIT,60,0.000070
BLOCK2,60,0.000030
VEC_INIT,60,0.000090
BLOCK2,60,0.000041
VEC_INIT,60,0.000080
BLOCK4,60,0.000140
VEC_INIT,60,0.000081
BLOCK4,60,0.000050
VEC_INIT,60,0.000070
