MODE,MAX_NUMBER,NUM_THREADS,PRIME_COUNT,TIME_MS
NAIVE_PARALLEL,20,2,8,0.093148
NAIVE_PARALLEL,20,3,8,0.099634
NAIVE_PARALLEL,20,4,9,0.144283
NAIVE_PARALLEL,20,5,8,0.195952
NAIVE_PARALLEL,20,6,8,0.239424
NAIVE_PARALLEL,20,7,6,0.270739
NAIVE_PARALLEL,20,8,5,0.322535
NAIVE_PARALLEL,20,9,4,0.384377
NAIVE_PARALLEL,20,10,7,0.418027
NAIVE_PARALLEL,20,11,4,0.466642
NAIVE_PARALLEL,20,12,7,4.004424
NAIVE_PARALLEL,20,1,8,0.001721
NAIVE_PARALLEL,20,2,8,0.055355
NAIVE_PARALLEL,20,3,9,0.096055
NAIVE_PARALLEL,20,4,7,0.141472
NAIVE_PARALLEL,20,5,6,0.181151
NAIVE_PARALLEL,20,6,6,0.232441
NAIVE_PARALLEL,20,7,8,0.284130
NAIVE_PARALLEL,20,8,5,0.320454
NAIVE_PARALLEL,20,9,5,0.364421
NAIVE_PARALLEL,20,10,4,0.452172
NAIVE_PARALLEL,20,11,4,0.452638
NAIVE_PARALLEL,20,12,9,4.474388
NAIVE_PARALLEL,20,1,8,0.001721
NAIVE_PARALLEL,20,2,8,0.054587
NAIVE_PARALLEL,20,3,8,0.097874
NAIVE_PARALLEL,20,4,8,0.142600
NAIVE_PARALLEL,20,5,8,0.237245
NAIVE_PARALLEL,20,6,8,0.233219
NAIVE_PARALLEL,20,7,7,0.283586
NAIVE_PARALLEL,20,8,5,0.319851
NAIVE_PARALLEL,20,9,4,0.371336
NAIVE_PARALLEL,20,10,4,0.425048
NAIVE_PARALLEL,20,11,3,0.474034
NAIVE_PARALLEL,20,12,9,3.633176
NAIVE_PARALLEL,20,1,8,0.001653
NAIVE_PARALLEL,20,2,8,0.054626
NAIVE_PARALLEL,20,3,6,0.094480
NAIVE_PARALLEL,20,4,6,0.143369
NAIVE_PARALLEL,20,5,5,0.196410
NAIVE_PARALLEL,20,6,4,0.227579
NAIVE_PARALLEL,20,7,5,0.269874
NAIVE_PARALLEL,20,8,6,0.320970
NAIVE_PARALLEL,20,9,5,0.474490
NAIVE_PARALLEL,20,10,5,0.435240
NAIVE_PARALLEL,20,11,6,0.471962
NAIVE_PARALLEL,20,12,10,3.899976
NAIVE_PARALLEL,20,1,8,0.002966
NAIVE_PARALLEL,20,2,8,0.054636
