PROCESS_COUNT,ROW_COUNT,COL_COUNT,TIME_MS
5,7228,7228,0.031082
6,7228,7228,0.029037
2,7420,7420,0.053249
3,7420,7420,0.038933
4,7420,7420,0.030270
5,7420,7420,0.034111
6,7420,7420,0.032865
2,7613,7613,0.055581
3,7613,7613,0.059947
4,7613,7613,0.044500
5,7613,7613,0.039963
6,7613,7613,0.032541
2,7807,7807,0.059778
3,7807,7807,0.067696
4,7807,7807,0.036951
5,7807,7807,0.039348
6,7807,7807,0.038991
2,8001,8001,0.060050
3,8001,8001,0.070387
4,8001,8001,0.038878
5,8001,8001,0.041202
6,8001,8001,0.038706
2,8196,8196,0.067769
3,8196,8196,0.063543
4,8196,8196,0.046776
5,8196,8196,0.043398
6,8196,8196,0.039334
2,8391,8391,0.074562
3,8391,8391,0.074247
4,8391,8391,0.047561
5,8391,8391,0.044090
6,8391,8391,0.044827
2,8587,8587,0.073788
3,8587,8587,0.073973
4,8587,8587,0.050244
5,8587,8587,0.050176
6,8587,8587,0.043089
2,8783,8783,0.090988
3,8783,8783,0.089756
4,8783,8783,0.054681
5,8783,8783,0.044704
6,8783,8783,0.043083
2,8980,8980,0.089277
3,8980,8980,0.087173
4,8980,8980,0.055767
5,8980,8980,0.046713
6,8980,8980,0.052082
2,9177,9177,0.082639
3,9177,9177,0.080387
4,9177,9177,0.056335
5,9177,9177,0.056784
6,9177,9177,0.044750
2,9375,9375,0.086785
3,9375,9375,0.086505
4,9375,9375,0.063570
5,9375,9375,0.053803
6,9375,9375,0.054034
2,9573,9573,0.089054
3,9573,9573,0.096221
4,9573,9573,0.061187
5,9573,9573,0.051243
6,9573,9573,0.052356
2,9772,9772,0.099878
3,9772,9772,0.087604
4,9772,9772,0.056968
5,9772,9772,0.052987
6,9772,9772,0.058400
2,9971,9971,0.095874
3,9971,9971,0.096835
4,9971,9971,0.064928
5,9971,9971,0.057673
6,9971,9971,0.059215
2,10170,10170,0.120939
3,10170,10170,0.079271
4,10170,10170,0.065111
5,10170,10170,0.057231
6,10170,10170,0.056643
2,10370,10370,0.105069
3,10370,10370,0.080098
4,10370,10370,0.070622
5,10370,10370,0.063678
6,10370,10370,0.061820
2,10570,10570,0.112600
3,10570,10570,0.094531
4,10570,10570,0.072039
5,10570,10570,0.066236
6,10570,10570,0.063121
2,10771,10771,0.109536
3,10771,10771,0.087957
4,10771,10771,0.066945
5,10771,10771,0.077328
6,10771,10771,0.065793
2,10972,10972,0.127274
3,10972,10972,0.087697
4,10972,10972,0.075269
5,10972,10972,0.065780
6,10972,10972,0.093034
2,11174,11174,0.125061
3,11174,11174,0.095606
4,11174,11174,0.084517
5,11174,11174,0.099628
6,11174,11174,0.071429
2,11376,11376,0.123402
3,11376,11376,0.107565
4,11376,11376,0.124962
5,11376,11376,0.079480
6,11376,11376,0.069551
2,11578,11578,0.142662
3,11578,11578,0.133275
4,11578,11578,0.094906
5,11578,11578,0.074938
6,11578,11578,0.071948
2,11781,11781,0.179379
3,11781,11781,0.104719
4,11781,11781,0.087097
5,11781,11781,0.079853
6,11781,11781,0.109833
2,11984,11984,0.140340
3,11984,11984,0.112285
4,11984,11984,0.104815
5,11984,11984,0.124806
6,11984,11984,0.076214
2,12187,12187,0.157488
3,12187,12187,0.100695
4,12187,12187,0.143148
5,12187,12187,0.087899
6,12187,12187,0.084802
2,12391,12391,0.146109
3,12391,12391,0.148390
4,12391,12391,0.091955
5,12391,12391,0.083954
6,12391,12391,0.092471
2,12595,12595,0.194915
3,12595,12595,0.127688
4,12595,12595,0.103999
5,12595,12595,0.091880
6,12595,12595,0.125674
2,12800,12800,0.168175
3,12800,12800,0.124196
4,12800,12800,0.111482
5,12800,12800,0.139268
6,12800,12800,0.086888
2,13005,13005,0.165356
3,13005,13005,0.126329
4,13005,13005,0.144345
5,13005,13005,0.101143
6,13005,13005,0.090437
2,13210,13210,0.176411
3,13210,13210,0.181442
4,13210,13210,0.110830
5,13210,13210,0.099317
6,13210,13210,0.091849
2,13416,13416,0.228219
3,13416,13416,0.153763
4,13416,13416,0.105147
5,13416,13416,0.107304
6,13416,13416,0.150906
2,13622,13622,0.184563
3,13622,13622,0.144107
4,13622,13622,0.123642
5,13622,13622,0.155317
6,13622,13622,0.100274
2,13828,13828,0.178528
3,13828,13828,0.147949
4,13828,13828,0.170116
5,13828,13828,0.112872
6,13828,13828,0.104998
2,14035,14035,0.234309
3,14035,14035,0.137918
4,14035,14035,0.124790
5,14035,14035,0.110645
6,14035,14035,0.157127
2,14242,14242,0.197554
3,14242,14242,0.161648
4,14242,14242,0.115236
5,14242,14242,0.124692
6,14242,14242,0.104934
2,14449,14449,0.194436
3,14449,14449,0.205935
4,14449,14449,0.139942
5,14449,14449,0.113506
6,14449,14449,0.179870
2,14656,14656,0.216111
3,14656,14656,0.160687
4,14656,14656,0.139908
5,14656,14656,0.130228
6,14656,14656,0.114936
2,14864,14864,0.220352
3,14864,14864,0.167135
4,14864,14864,0.141222
5,14864,14864,0.128390
6,14864,14864,0.114781
2,15072,15072,0.221703
3,15072,15072,0.166147
4,15072,15072,0.142346
5,15072,15072,0.135075
