MODE,NUM_BINS,NUM_THREADS,BINS_TOTAL_SIZE,TIME_MS
SIMPLE_UNNAMED, 100000, 10, 333334, 58.300383
SIMPLE_UNNAMED, 100000, 10, 333334, 59.292303
SIMPLE_UNNAMED, 100000, 10, 333334, 60.456851
SIMPLE_UNNAMED, 100000, 10, 333334, 62.829031
SIMPLE_UNNAMED, 100000, 10, 333334, 62.006158
SIMPLE_UNNAMED, 100000, 10, 333334, 60.276532
SIMPLE_UNNAMED, 100000, 10, 333334, 56.681852
SIMPLE_UNNAMED, 100000, 10, 333334, 58.356290
SIMPLE_UNNAMED, 100000, 10, 333334, 58.017268
SIMPLE_UNNAMED, 100000, 10, 333334, 58.512452
SIMPLE_UNNAMED, 100000, 10, 333334, 59.267609
SIMPLE_UNNAMED, 100000, 10, 333334, 58.203862
SIMPLE_UNNAMED, 100000, 10, 333334, 59.112029
SIMPLE_UNNAMED, 100000, 10, 333334, 59.239287
SIMPLE_UNNAMED, 100000, 10, 333334, 59.556948
SIMPLE_UNNAMED, 100000, 10, 333334, 59.306154
SIMPLE_UNNAMED, 100000, 10, 333334, 56.948249
SIMPLE_UNNAMED, 100000, 10, 333334, 60.550986
SIMPLE_UNNAMED, 100000, 10, 333334, 58.013375
SIMPLE_UNNAMED, 100000, 10, 333334, 60.493511
SIMPLE_UNNAMED, 100000, 10, 333334, 57.078905
SIMPLE_UNNAMED, 100000, 10, 333334, 57.809086
SIMPLE_UNNAMED, 100000, 10, 333334, 57.734931
SIMPLE_UNNAMED, 100000, 10, 333334, 58.347894
SIMPLE_UNNAMED, 100000, 10, 333334, 60.556425
SIMPLE_UNNAMED, 100000, 10, 333334, 57.218814
SIMPLE_UNNAMED, 100000, 10, 333334, 60.729607
SIMPLE_UNNAMED, 100000, 10, 333334, 59.570846
SIMPLE_UNNAMED, 100000, 10, 333334, 57.950181
SIMPLE_UNNAMED, 100000, 10, 333334, 60.649488
SIMPLE_UNNAMED, 100000, 10, 333334, 57.156616
SIMPLE_UNNAMED, 100000, 10, 333334, 58.667028
SIMPLE_UNNAMED, 100000, 10, 333334, 58.017179
SIMPLE_UNNAMED, 100000, 10, 333334, 57.928630
SIMPLE_UNNAMED, 100000, 10, 333334, 57.889368
SIMPLE_UNNAMED, 100000, 10, 333334, 58.071691
SIMPLE_UNNAMED, 100000, 10, 333334, 58.306068
SIMPLE_UNNAMED, 100000, 10, 333334, 58.487411
SIMPLE_UNNAMED, 100000, 10, 333334, 56.815275
SIMPLE_UNNAMED, 100000, 10, 333334, 58.371414
SIMPLE_UNNAMED, 100000, 10, 333334, 56.816097
SIMPLE_UNNAMED, 100000, 10, 333334, 61.005747
SIMPLE_UNNAMED, 100000, 10, 333334, 56.855960
SIMPLE_UNNAMED, 100000, 10, 333334, 58.657924
SIMPLE_UNNAMED, 100000, 10, 333334, 58.482525
SIMPLE_UNNAMED, 100000, 10, 333334, 59.067957
SIMPLE_UNNAMED, 100000, 10, 333334, 59.627993
SIMPLE_UNNAMED, 100000, 10, 333334, 58.155667
SIMPLE_UNNAMED, 100000, 10, 333334, 64.829576
SIMPLE_UNNAMED, 100000, 10, 333334, 57.960937
SIMPLE_UNNAMED, 100000, 10, 333334, 58.196276
SIMPLE_UNNAMED, 100000, 10, 333334, 58.634099
SIMPLE_UNNAMED, 100000, 10, 333334, 58.686198
SIMPLE_UNNAMED, 100000, 10, 333334, 59.799080
SIMPLE_UNNAMED, 100000, 10, 333334, 61.220185
SIMPLE_UNNAMED, 100000, 10, 333334, 57.588858
SIMPLE_UNNAMED, 100000, 10, 333334, 58.780520
SIMPLE_UNNAMED, 100000, 10, 333334, 59.186572
SIMPLE_UNNAMED, 100000, 10, 333334, 57.811795
SIMPLE_UNNAMED, 100000, 10, 333334, 58.333449
SIMPLE_UNNAMED, 100000, 10, 333334, 57.154851
SIMPLE_UNNAMED, 100000, 10, 333334, 58.368445
SIMPLE_UNNAMED, 100000, 10, 333334, 56.702121
SIMPLE_UNNAMED, 100000, 10, 333334, 60.517433
SIMPLE_UNNAMED, 100000, 10, 333334, 58.056486
SIMPLE_UNNAMED, 100000, 10, 333334, 61.169703
SIMPLE_UNNAMED, 100000, 10, 333334, 56.609073
SIMPLE_UNNAMED, 100000, 10, 333334, 58.329146
SIMPLE_UNNAMED, 100000, 10, 333334, 58.155248
SIMPLE_UNNAMED, 100000, 10, 333334, 59.512948
SIMPLE_UNNAMED, 100000, 10, 333334, 61.779002
SIMPLE_UNNAMED, 100000, 10, 333334, 58.254949
SIMPLE_UNNAMED, 100000, 10, 333334, 58.959841
SIMPLE_UNNAMED, 100000, 10, 333334, 58.111819
SIMPLE_UNNAMED, 100000, 10, 333334, 56.987984
SIMPLE_UNNAMED, 100000, 10, 333334, 58.752221
SIMPLE_UNNAMED, 100000, 10, 333334, 57.642801
SIMPLE_UNNAMED, 100000, 10, 333334, 59.558779
SIMPLE_UNNAMED, 100000, 10, 333334, 61.128893
SIMPLE_UNNAMED, 100000, 10, 333334, 57.920849
SIMPLE_UNNAMED, 100000, 10, 333334, 58.063480
SIMPLE_UNNAMED, 100000, 10, 333334, 59.432568
SIMPLE_UNNAMED, 100000, 10, 333334, 57.615455
SIMPLE_UNNAMED, 100000, 10, 333334, 58.570976
SIMPLE_UNNAMED, 100000, 10, 333334, 61.654509
SIMPLE_UNNAMED, 100000, 10, 333334, 58.417004
SIMPLE_UNNAMED, 100000, 10, 333334, 57.958489
SIMPLE_UNNAMED, 100000, 10, 333334, 59.140055
SIMPLE_UNNAMED, 100000, 10, 333334, 58.145310
SIMPLE_UNNAMED, 100000, 10, 333334, 60.044878
SIMPLE_UNNAMED, 100000, 10, 333334, 59.019239
SIMPLE_UNNAMED, 100000, 10, 333334, 57.345949
